Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming
USC00013644,USC00502568,USC00021749,USC00031900,USC00041967,USC00051268,,,USC00087760,USC00092517,USC00517166,USC00102875,USC00113061,USC00123960,USC00132026,USC00142401,USC00153382,USC00164696,USC00176420,USC00180737,USC00193276,USC00201800,USC00211374,USC00226562,USC00231221,USC00241465,USC00252595,USC00262860,USC00275868,,USC00291647,USC00301625,USC00313224,USC00322697,USC00331890,USC00342341,USC00352672,USC00361350,,USC00387281,USC00391519,USC00406292,USC00411007,USC00422116,USC00437152,USC00442216,USC00451474,USC00465875,USC00472844,USC00483936
USC00013645,USC00502610,USC00021849,USC00031910,USC00041990,USC00051342,,,USC00087950,USC00092844,USC00517194,USC00102892,USC00113290,USC00124244,USC00132037,USC00142773,USC00153391,USC00164734,USC00176427,USC00180800,USC00194131,USC00201804,USC00211390,USC00226718,USC00231291,USC00241552,USC00252629,USC00262948,USC00276368,,USC00291840,USC00301664,USC00313238,USC00322735,USC00331905,USC00342660,USC00352675,USC00361362,,USC00388188,USC00391520,USC00406308,USC00411013,USC00422150,USC00437607,USC00442245,USC00451496,USC00466163,USC00472851,USC00484036
USC00013655,USC00502645,USC00021870,USC00031935,USC00042500,USC00051440,,,USC00087977,USC00092966,USC00517312,USC00103882,USC00113879,USC00124254,USC00132041,USC00142827,USC00153392,USC00164830,USC00176856,USC00181693,USC00194502,USC00201818,USC00211448,USC00226811,USC00231297,USC00241722,USC00252645,USC00263090,USC00277253,,USC00291927,USC00301761,USC00313336,USC00323665,USC00332044,USC00342678,USC00352800,USC00361519,,USC00388426,USC00391621,USC00406403,USC00411017,USC00422235,USC00437612,USC00442782,USC00451586,USC00466212,USC00472869,USC00484065
USC00014225,USC00502665,USC00021874,USC00032540,USC00042506,USC00051713,,,USC00088368,USC00093506,USC00518905,USC00103942,USC00113930,USC00124260,USC00132070,USC00142835,USC00153430,USC00164905,USC00176875,USC00181710,USC00195175,USC00201845,USC00211465,USC00226894,USC00231304,USC00241824,USC00252680,USC00263114,USC00277833,,USC00291933,USC00301799,USC00313356,USC00323686,USC00332067,USC00342912,USC00352805,USC00361526,,USC00388887,USC00391740,USC00406404,USC00411127,USC00422257,USC00438172,USC00442790,USC00451650,USC00466248,USC00472889,USC00484080
USC00014226,USC00502717,USC00022140,USC00032564,USC00042539,USC00051741,,,USC00088573,USC00093516,USC00519593,USC00104150,USC00113940,USC00124264,USC00132171,USC00143037,USC00153744,USC00165624,USC00176900,USC00181980,USC00195306,USC00201896,USC00211468,USC00226921,USC00231356,USC00241831,USC00252741,USC00263275,USC00278539,,USC00292005,USC00301949,USC00313364,USC00323705,USC00332090,USC00342944,USC00352867,USC00361591,,USW00013744,USC00392087,USC00406427,USC00411128,USC00422592,USC00438556,USC00442922,USC00451654,USC00466284,USC00472893,USC00484303
USC00014822,USC00502730,USC00022216,USC00032578,USC00042572,USC00051944,,,USC00088824,USC00093538,USW00022525,USC00104268,USC00114012,USC00124372,USC00132208,USC00143100,USC00153768,USC00165874,USC00177174,USC00181995,USC00195490,USC00201901,USC00211489,USC00227128,USC00231383,USC00241840,USC00252770,USC00263980,USC00278610,,USC00292093,USC00302036,USC00313427,USC00323736,USC00332119,USC00343042,USC00352997,USC00361652,,USW00013880,USC00392207,USC00406534,USC00411133,USC00422607,USC00438597,USC00442941,USC00451666,USC00466591,USC00472934,USC00484360
USC00015553,USC00502737,USC00022329,USC00032580,USC00042574,USC00052048,,,USC00089120,USC00093621,,USC00104295,USC00114013,USC00124382,USC00132209,USC00143155,USC00153816,USC00165892,USC00177250,USC00182065,USC00196681,USC00202250,USC00211857,USC00227141,USC00231580,USC00241875,USC00252790,USC00264016,USC00278612,,USC00292095,USC00302169,USC00313638,USC00323936,USC00332156,USC00343047,USC00353014,USC00361705,,USW00093804,USC00392209,USC00406562,USC00411138,USC00422625,USC00438600,USC00443071,USC00451679,USC00466674,USC00473058,USC00484442
USC00015555,USC00502965,USC00022787,USC00033101,USC00042598,USC00052178,,,USC00089176,USC00093754,,USC00104384,USC00114017,USC00124407,USC00132299,USC00143156,USC00153840,USC00165908,USC00177325,USC00182205,USC00196989,USC00202268,USC00211891,USC00227252,USC00231600,USC00241905,USC00252820,USC00264037,USC00278614,,USC00292096,USC00302197,USC00313643,USC00324083,USC00332160,USC00343182,USC00353022,USC00361719,,USW00093846,USC00392228,USC00406950,USC00411246,USC00422696,USC00438805,USC00443127,USC00452066,USC00467105,USC00473116,USC00484700
USC00015635,USC00502970,USC00022790,USC00033132,USC00042756,USC00052196,,,USC00089219,USC00093810,,USC00104442,USC00114078,USC00124449,USC00132573,USC00143158,USC00153929,USC00166130,USC00177407,USC00182325,USC00197124,USC00202298,USC00212015,USC00227444,USC00231640,USC00241919,USC00252840,USC00264038,USC00279318,,USC00292100,USC00302286,USC00313648,USC00324102,USC00332251,USC00343353,USC00353038,USC00361720,,,USC00392231,USC00406977,USC00411250,USC00422702,USC00439099,USC00443192,USC00452157,USC00467112,USC00473174,USC00484770
USC00015752,USC00503082,USC00023009,USC00033164,USC00042771,USC00052223,,,USW00012816,USC00093899,,USC00104455,USC00114108,USC00124492,USC00132603,USC00143218,USC00154208,USC00166394,USC00177479,USC00182335,USC00197190,USC00202307,USC00212023,USC00227701,USC00231674,USC00241938,USC00253012,USC00264039,USC00279940,,USC00292139,USC00302582,USC00313784,USC00324571,USC00333029,USC00343358,USC00353047,USC00361726,,,USC00392557,USC00407184,USC00411337,USC00422721,USC00439184,USC00443204,USC00452384,USC00467306,USC00473214,USC00484875
